Estado;Mesorregiao;Microrregiao;Municipios;1980;1991;2000;2010;2022
MT;Centro-sul Mato-grossense;Rosario Oeste;Acorizal;4193;5298;5817;5516;5014
MT;Nordeste Mato-grossense;Canarana;Agua Boa;4045;16572;16737;20856;29219
MT;Norte Mato-grossense;Alta Floresta;Alta Floresta;14085;66734;46982;49164;58613
MT;Sudeste Mato-grossense;Alto Araguaia;Alto Araguaia;9416;10743;11410;15644;17193
MT;Nordeste Mato-grossense ;Norte Araguaia;Alto Boa Vista;0;0;6206;5247;5639
MT;Sudeste Mato-grossense;Alto Araguaia;Alto Garças;6665;8252;8335;10350;13052
MT;Centro-Sul Mato-grossense;Alto Paraguai;Alto Paraguai;10656;13793;8605;10066;8009
MT;Sudeste Mato-grossense;Alto Araguaia;Alto Taquari;1807;3009;4476;8072;10904
MT;Norte Mato-grossense;Alta Floresta;Apiacás;5043;7344;6665;8567;8590
MT;Norte Mato-grossense;Medio Araguaia;Araguaiana;3064;3320;3426;3197;3795
MT;Sudeste Mato-grossense;Tesouro;Araguainha;1398;1416;1352;1096;1010
MT;Sudeste Mato-grossense;Jauru;Araputanga;14998;12528;13675;15342;14786
MT;Centro-Sul Mato-grossense;Alto Paraguai;Arenápolis;13308;19579;11605;10316;10576
MT;Norte Mato-grossense;Aripuanã;Aripuanã;2263;13610;27560;18656;24626
MT;Centro-sul Mato-grossense;Alto Pantanal;Barão de Melgaço;8253;9880;7682;7591;7253
MT;Sudoeste Mato-grossense;Tangará da Serra;Barra do Bugres;15828;22229;27460;31793;29403
MT;Norte Mato-grossense;Medio Araguaia;Barra do Garças;33906;45599;52092;56560;69210
MT;Norte Mato-grossense;Norte Araguaia;Bom Jesus do Araguaia;0;0;0;5314;7280
MT;Norte Mato-grossense;Aripuanã;Brasnorte;1176;6575;9815;15357;17004
MT;Centro-sul Mato-grossense;Alto Pantanal;Cáceres;52644;77475;85857;87942;89478
MT;Norte Mato-grossense;Canarana;Campinápolis;3649;11749;12419;14305;15347
MT;Norte Mato-grossense;Parecis;Campo Novo do Parecis;1175;6310;17638;27577;45899
MT;Sudeste Mato-grossense;Primavera do Leste;Campo Verde;2451;5974;17221;31589;44585
MT;Norte Mato-grossense;Parecis;Campos de Júlio;0;0;2895;5154;8822
MT;Nordeste Mato-grossense;Norte Araguaia;Canabrava do Norte;0;0;4989;4786;4485
MT;Nordeste Mato-grossense;Canarana;Canarana;5821;11882;15408;18754;25843
MT;Norte Mato-grossense;Alta Floresta;Carlinda;0;0;12296;10990;10332
MT;Norte Mato-grossense;Aripuanã;Castanheira;2148;8361;7790;8231;7506
MT;Centro-sul Mato-grossense;Cuiabá;Chapada dos Guimarães;9366;127660;15755;17821;18990
MT;Norte Mato-grossense;Sinop;Cláudia;2964;9010;10249;11028;9593
MT;Norte Mato-grossense;Médio Araguaia;Cocalinho;2347;5256;5504;5490;6220
MT;Norte Mato-grossense;Colider;Colíder;17327;31153;28051;30766;31370
MT;Norte Mato-grossense;Aripuanã;Colniza;0;0;0;26381;25756
MT;Norte Mato-grossense;Parecis;Comodoro;3752;9261;15046;18178;18238
MT;Norte Mato-grossense;Norte Araguaia;Confresa;0;0;17841;25124;35075
MT;Sudoeste Mato-grossense;Alto Guaporé;Conquista D'Oeste;0;0;0;3385;3760
MT;Norte Mato-grossense;Aripuanã;Cotriguaçu;0;0;8474;14983;11011
MT;Centro-sul Mato-grossense;Cuiabá;Cuiabá;209553;401112;483346;551098;650912
MT;Centro-sul Mato-grossense;Alto Pantanal;Curvelândia;0;0;0;4866;4903
MT;Sudoeste Mato-grossense;Tangará da Serra;Denise;4434;4778;7463;8523;7014
MT;Norte Mato-grossense;Parecis;Diamantino;6463;16587;18580;20341;21941
MT;Sudeste Mato-grossense;Rondonópolis;Dom Aquino;11329;8943;8418;8171;7872
MT;Norte Mato-grossense;Sinop;Feliz Natal;0;0;6769;10933;10521
MT;Sudoeste Mato-grossense;Jauru;Figueirópolis D'Oeste;7076;5407;4315;3796;3187
MT;Norte Mato-grossense;Paranatinga;Gaúcha do Norte;0;0;4605;6293;8646
MT;Sudeste Mato-grossense;Tesouro;General Carneiro;3989;4303;4349;5027;6037
MT;Sudeste Mato-grossense;Jauru;Glória D'Oeste;0;0;3361;3135;2905
MT;Norte Mato-grossense;Colider;Guarantã do Norte;571;23779;28200;32216;31024
MT;Sudoeste Mato-grossense;Tesouro;Guiratinga;13579;14711;12645;13934;10963
MT;Sudoeste Mato-grossense;Jauru;Indiavaí;2155;2017;2056;2397;2213
MT;Norte Mato-grossense;Alto Teles Pires;Ipiranga do Norte;0;0;0;5123;7815
MT;Norte Mato-grossense;Alto Teles Pires;Itanhangá;0;0;0;5276;7539
MT;Norte Mato-grossense;Sinop;Itaúba;2323;7143;8565;4575;5020
MT;Sudoeste Mato-grossense;Rondonópolis;Itiquira;7002;7973;9200;11478;12236
MT;Sudeste Mato-grossense;Rondonópolis;Jaciara;14437;21909;23796;25647;28569
MT;Centro-Sul Mato-grossense;Rosário Oeste;Jangada;44423;5219;7134;7696;7426
MT;Sudoeste Mato-grossense;Jauru;Jauru;9625;13213;12764;10455;8367
MT;Norte Mato-grossense;Arinos;Juara;8967;21647;30748;32791;34906
MT;Norte Mato-grossense;Aripuanã;Juína;7920;36504;38017;39255;45869
MT;Norte Mato-grossense;Aripuanã;Juruena;1655;5883;5448;11201;10213
MT;Sudeste Mato-grossense;Rondonópolis;Juscimeira;12759;10940;12063;11430;11480
MT;Sudeste Mato-grossense;Jauru;Lambari D'Oeste;0;0;4690;5431;4790
